pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.08,1,Penn Station/Madison Sq West,Garment District,12.36
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,0.2,1,East Chelsea,West Chelsea/Hudson Yards,8.76
2019-06-15,Saturday,21,2019-06-15,Saturday,21,6,4.75,1,TriBeCa/Civic Center,Lincoln Square West,29.76
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,2.43,1,Central Harlem,Yorkville East,16.56
2019-06-15,Saturday,21,2019-06-15,Saturday,21,0,4.6,1,Garment District,Battery Park City,24.53
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.7,1,NV,East Chelsea,15.35
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,8.1,1,Midtown South,Prospect Heights,38.8
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,2.9,1,West Chelsea/Hudson Yards,East Village,18.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.44,1,Yorkville West,East Harlem North,9.36
2019-06-15,Saturday,22,2019-06-15,Saturday,23,2,4.64,1,Chinatown,Times Sq/Theatre District,29.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,3,1.3,1,Upper East Side South,Sutton Place/Turtle Bay North,12.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,0.9,1,Flatiron,Penn Station/Madison Sq West,12.3
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,3.1,1,Penn Station/Madison Sq West,Lenox Hill West,18.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,1.0,1,Clinton West,Lincoln Square East,9.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,1.5,1,Lincoln Square East,Midtown Center,15.35
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,4.73,1,Battery Park City,Clinton East,21.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,3.01,1,Union Sq,Lincoln Square West,19.56
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.68,1,Lenox Hill West,UN/Turtle Bay South,10.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,1.52,1,Kips Bay,Lenox Hill West,12.36
2019-06-15,Saturday,22,2019-06-15,Saturday,23,5,11.91,1,LaGuardia Airport,Clinton East,56.9
2019-06-15,Saturday,22,2019-06-15,Saturday,23,0,5.6,1,Clinton East,Williamsburg (South Side),31.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,1.2,1,Upper West Side South,Lincoln Square East,12.35
2019-06-15,Saturday,22,2019-06-15,Saturday,22,5,0.76,1,Lincoln Square West,Upper West Side South,9.96
2019-06-15,Saturday,22,2019-06-15,Saturday,22,6,1.59,1,Clinton East,East Chelsea,13.57
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.72,1,Yorkville West,Sutton Place/Turtle Bay North,11.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.74,1,Midtown Center,Lincoln Square West,12.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.82,1,East Chelsea,Midtown Center,15.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,0.98,1,West Village,Little Italy/NoLiTa,10.3
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,2.4,1,Bushwick South,Brownsville,13.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,1.51,1,Lenox Hill East,Midtown East,14.75
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,3.4,1,Greenwich Village North,Lenox Hill East,22.0
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,0.96,1,Lenox Hill West,Yorkville West,9.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,1,4.95,1,Financial District South,West Chelsea/Hudson Yards,24.05
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,3.18,1,West Chelsea/Hudson Yards,Lenox Hill West,23.16
2019-06-15,Saturday,22,2019-06-15,Saturday,22,2,4.83,1,Financial District North,Union Sq,26.16
2019-06-15,Saturday,22,2019-06-15,Saturday,22,3,2.07,1,Lincoln Square East,Manhattan Valley,14.3
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,0.64,1,Clinton East,Midtown South,17.76
2019-06-15,Saturday,22,2019-06-15,Saturday,23,6,1.84,1,Alphabet City,Murray Hill,17.29
2019-06-15,Saturday,22,2019-06-15,Saturday,22,6,0.8,1,East Chelsea,Union Sq,10.23
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,8.7,1,Meatpacking/West Village West,Sunnyside,44.9
2019-06-15,Saturday,22,2019-06-15,Saturday,23,1,1.14,1,East Chelsea,West Chelsea/Hudson Yards,12.8
2019-06-15,Saturday,22,2019-06-15,Saturday,22,4,1.38,1,West Village,Little Italy/NoLiTa,14.76
2019-06-15,Saturday,22,2019-06-15,Saturday,22,4,2.39,1,Carroll Gardens,Clinton Hill,12.3
2019-06-15,Saturday,22,2019-06-15,Saturday,23,3,3.6,1,Penn Station/Madison Sq West,Upper East Side North,26.62
